聚类组,模拟次数,检测时间(周),时间偏差(周),GAMM误差,时间噪声,聚类噪声,总噪声
第1组,1,16.958873933562806,0.38020636075173186,0.024169415846776388,-0.04297018346142594,-0.07918603068961583,0.09327928379581282
第1组,2,17.54372025913236,0.965052686321286,0.011504639395072794,-0.15702872063805992,0.17682511278355378,0.2367646433565473
第1组,3,17.94813675233494,1.3694691795238647,0.03041536449792883,0.3345690080202019,0.004844400643136227,0.33598360636012436
第1组,4,17.450077155721562,0.8714095829104878,0.03582619239092421,-0.2107148084727607,0.004698870437315984,0.21379037853544866
第1组,5,17.505847286828086,0.9271797140170115,0.001805579977610525,0.017642949627669477,0.22678052346307176,0.2274729425949488
第1组,6,17.3397817936242,0.761114220813127,0.002042274601522871,-0.17205429456363344,0.07253614865543855,0.18673067242716568
第1组,7,18.32818509591461,1.7495175231035347,0.005857921736689022,-0.2355077919354396,-0.3587967558145303,0.429224122449346
第1组,8,16.986867505554606,0.40819993274353195,-0.04322712109392796,0.0805689432622608,0.04085976474951967,0.10014718663972844
第1组,9,17.26505163836446,0.686384065553387,0.01415082835676451,-0.1597971189774236,-0.05120556981378889,0.16839648320740636
第1组,10,17.499444937157453,0.9207773643463781,0.005272184846657702,-0.08532311599502937,-0.20910278236401292,0.22590219929989686
第1组,11,18.85930633449702,2.280638761685946,-0.06493279724132563,-0.5555396829933958,0.015221639812332474,0.5595286461447369
第1组,12,17.518061012535952,0.9393934397248778,0.015757564977301793,-0.1338842853991437,-0.18693009469170066,0.23046944056056853
第1组,13,17.024802202710475,0.4461346298994009,-0.004022423363435563,0.06452556392544419,-0.0883201935460701,0.10945403088797863
第1组,14,17.100340936859613,0.5216733640485387,0.0621472257230315,0.0799152098512183,0.07830613160342532,0.12798659569395013
第1组,15,16.709528895188907,0.13086132237783232,0.009624150186108581,-0.02840226790216686,0.011464688528235801,0.032105329337053894
第1组,16,17.789178640873242,1.2105110680621678,0.012271741361311947,-0.14844638487918346,-0.256930332434425,0.29698505104567424
第1组,17,17.95780900203835,1.3791414292272748,-0.04689771356649301,-0.006758607081963565,-0.33502254019768446,0.33835658224417964
第1组,18,17.970175397716424,1.39150782490535,-0.020771265303384995,-0.30799409272306694,-0.1457933176936683,0.34139053604154823
第1组,19,16.816384252711053,0.2377166798999788,0.024505716292313778,0.019565086915440868,0.04917341159915872,0.05832106965161395
第1组,20,17.994338637009488,1.4156710641984134,0.012891194759077289,0.3298538622662474,-0.1079839494705623,0.3473187105491697
第1组,21,17.533152701659066,0.9544851288479919,-0.04033776919590158,-0.13236268567428536,0.18891669045742085,0.23417201394700532
第1组,22,17.866860368101513,1.2881927952904384,0.02932736661652086,-0.17126015390314778,0.2639948483327426,0.3160433747032477
第1组,23,17.416009237363408,0.8373416645523335,0.019090786364743862,-0.045248061914376705,-0.1994756759982008,0.20543220425719708
第1组,24,18.01640180391252,1.4377342311014445,0.04809139130741769,0.3246532653556168,0.12925593501310984,0.35273165630555614
第1组,25,17.656360541223755,1.0776929684126806,-0.025662416965494803,0.12110275014524907,-0.23362948986769644,0.26439964877641875
第1组,26,17.91127511547836,1.3326075426672865,-0.006883693041129641,0.2791335541672928,0.17007896336155398,0.32694002518824505
第1组,27,17.665190701165308,1.0865231283542336,-0.02559979537008767,0.13403202736558525,0.22899238670526273,0.26656602756482667
第1组,28,18.733678239426467,2.155010666615393,0.010266669208341673,0.3686971674931114,0.3787985328602094,0.5287072292972019
第1组,29,17.046938644851362,0.46827107204028806,-0.016770548837511452,-0.07092941774994517,-0.08880494929216733,0.11488495388623353
第1组,30,18.044043673754125,1.4653761009430504,-0.040036469328128835,0.3034202731227172,-0.1886346004301807,0.35951327304785347
第1组,31,18.263241742481096,1.6845741696700216,-0.023386043983297203,0.20775288113707638,0.3565126854558334,0.4132910131673261
第1组,32,17.298682478727187,0.7200149059161127,0.009558557400574671,0.17599740440431935,-0.011741402070144522,0.1766474253964954
第1组,33,16.918067153635956,0.33939958082488175,-0.04976817280335176,-0.014745223803869743,0.0651094080195729,0.08326780687558495
第1组,34,17.12809294524958,0.5494253724385061,0.02317669768107082,-0.13209802063957163,-0.013516976282810228,0.13479523366989835
第1组,35,17.828741052904522,1.250073480093448,-0.004664163296084915,-0.18333960599049057,-0.2458136469357908,0.30669123652930563
第1组,36,17.73177844336018,1.1531108705491064,-0.02044228384346024,-0.056310505013695576,0.2764870765636346,0.2829025688295162
第1组,37,18.046421617748656,1.4677540449375819,-0.030067750948478307,-0.2472400054067831,0.26007292248135205,0.3600966744204078
第1组,38,17.3218067984625,0.7431392256514258,0.01898677035679189,0.10775675924737439,0.14583835479306548,0.18232071286835788
第1组,39,17.584599433114775,1.0059318603037006,-0.002056906486240904,-0.19915157487875576,0.1457451173153389,0.24679388133064342
第1组,40,18.09428195388324,1.5156143810721652,-0.01742715827280192,-0.2741594241939715,-0.25059308426629157,0.3718386607144663
第1组,41,17.700588740805536,1.1219211679944614,-0.028561198977001958,-0.23352687069761757,-0.14287166927828585,0.2752505318926552
第1组,42,16.855430113806808,0.2767625409957333,0.022209793654176958,0.01330842079572676,-0.06277015479943594,0.06790052526882544
第1组,43,16.734323381701742,0.15565580889066766,-0.023602952961285353,0.013402717964230882,0.026862978338865407,0.03818837313313724
第1组,44,17.48959970401046,0.9109321311993845,-0.013550082035887524,0.0766649703085718,-0.20948799532405762,0.2234867839056392
第1组,45,18.279321604994,1.7006540321829249,0.0057396251816481106,0.07322549708097933,0.4107200782374443,0.4172360235973815
